部门,表中文名,表英文名,部门到前置机状态,异常原因说明,前置机到前置仓状态,异常原因说明,前置仓到贴源层状态,异常原因说明,,部门,表中文名,（前置仓）表英文名,部门到前置机对账状态,异常原因说明,前置仓数据量核对（数据表和对账表是否一致）【暂无更新、不具备采集条件、正常、异常、无法匹配】,异常原因说明,前置仓到贴源层调度状态,异常原因说明
人力资源社会保障厅,AA10代码表,scsb_resident_frame01_aa10,正常,码表，不更新,未推送,,未推送,,,人力资源社会保障厅,证书表,rcrszjc_gy01,正常,已经到前置机，未对账,未推送,,未推送,
人力资源社会保障厅,AA10代码表,scsb_sczd01_aa10,正常,码表，不更新,未推送,,未推送,,,人力资源社会保障厅,单位基本情况表,sydbsgc_b01,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,AA10代码表,scsb_sczd02_aa10,正常,码表，不更新,未推送,,未推送,,,人力资源社会保障厅,个人基本信息表,sydbsgc_a01,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,AA10代码表,scsb_sczd03_aa10,正常,码表，不更新,未推送,,未推送,,,人力资源社会保障厅,劳动合同信息表,bct1,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,AA10代码表,scsb_sczd04_aa10,正常,码表，不更新,未推送,,未推送,,,人力资源社会保障厅,全省事业单位基本信息,sydwgzc_organization_dto,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,AA10代码表,scsb_zyshhx_aa10,正常,码表，不更新,未推送,,未推送,,,人力资源社会保障厅,职业伤害确认,zysh_lc31,未推送,,未推送,,未推送,
人力资源社会保障厅,AC51(个人账户年度台账),scsb_resident01_ac51,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,工伤认定,scgs_ly02,未推送,,未推送,,未推送,
人力资源社会保障厅,AC51(个人账户年度台账),scsb_resident04_ac51,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,劳动能力鉴定,scgs_ly03,未推送,,未推送,,未推送,
人力资源社会保障厅,专合社信息表_广元_广元市东西部协作就业帮扶平台,rlzyshbzt_platform_labor_community_gy,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,监察证管理信息表,bb0l,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,专家证书,rlzyshbzt_rsrc_gch4,正常,,正常,,正常,,,人力资源社会保障厅,执法人员信息数据(数据监管),jg_zfk_user_info,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,业务等待投资通知明细,scsb_scgioi_id56,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,企业基本信息(数据监管),jg_jgdx_qyjbxx,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人创业担保贷款信息,rlzyshbzt_cc90,正常,,正常,,正常,,,人力资源社会保障厅,企业信用信息记录表,bb90,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人基本信息,rsrc_ac01,正常,,正常,,正常,,,人力资源社会保障厅,省本级管辖用人单位名录库(双随机)表,ab01_ssj,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人基本信息表,rlzyshbzt_ac01,正常,,正常,,正常,,,人力资源社会保障厅,行政处罚决定书,bb24,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人基本信息表,rlzyshbzt_personinfo,正常,,正常,,正常,,,人力资源社会保障厅,行政强制行为数据(数据监管),jg_jgxw_force_action,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人基本信息表,rlzyshbzt_sydbsgc_a01,正常,,正常,,正常,,,人力资源社会保障厅,行政处理决定书,bb22,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人基本信息表,scsb_reportqb_ac01,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,案件受理登记信息表,bb51,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人基本信息表,scsb_zyshhx_ac01_ah,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,企业诚信评价信息表,bb91,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户,scsb_resident01_ac50,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,用人单位基本信息(成都大调解对接),ab01_jc_message,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户,scsb_resident04_ac50,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,人员实名信息数据表,b_ps01,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户,scsb_scgioi_ac50,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,单位基本信息数据表,b_cp01,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户信息表,scsb_sczd01_zc28,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,机构信息数据,syszone,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户信息表,scsb_sczd02_zc28,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,法人信息数据,unitinfo,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户信息表,scsb_sczd03_zc28,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,个人基本信息表,personinfo,正常,已经到前置机，未对账,正常,无cd_operation等字段,未推送,无cd_operation等字段
人力资源社会保障厅,个人账户信息表,scsb_sczd04_zc28,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,四川省专业技术人员职业资格电子证书信息表,t_diploma_data,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户年度台账,scsb_scgioi_ac51,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,个人基本信息,rsrc_ac01,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户支出明细,scsb_resident01_ac55,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,学历学位信息,rsrc_ac0r,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户支出明细,scsb_resident04_ac55,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,专家证书,rsrc_gch4,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户收入明细,scsb_resident01_ac53,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,职业资格证书信息,rsrc_ac0q,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户收入明细,scsb_resident04_ac53,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,单位基本信息,rsrc_ab01,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户收支明细表,scsb_sczd01_zc29,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,服务机构,rsrc_gbh1,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户收支明细表,scsb_sczd02_zc29,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,劳务公司表,labor_company,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户收支明细表,scsb_sczd03_zc29,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,劳务专合社表,labor_community,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,个人账户收支明细表,scsb_sczd04_zc29,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,人员信息,sbkyw_ac47,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,中人视同结果表,scsb_scgioi_ac94,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,社会保障卡基础信息,az20,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,享受定期待遇人员,scsb_resident01_ac60,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,社会保障卡基础信息注销表,az20z1,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,享受定期待遇人员,scsb_resident04_ac60,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,待遇发放途径信息,ac63,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,享受定期待遇人员,scsb_scgioi_ac60,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,机构教师信息,dc01,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,享受定期待遇人员,scsb_zyshhx_ac60,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,家庭户信息,ac0c,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,享受待遇基本信息,einp_treatment01_ac60,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,教育背景,cc26,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,享受待遇基本信息,einp_treatment02_ac60,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,就业登记信息表,cc03,正常,已经到前置机，未对账,未推送,,未推送,
人力资源社会保障厅,享受待遇基本信息,einp_treatment03_ac60,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,就业失业登记证信息表,cc0a,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,享受待遇基本信息,einp_treatment04_ac60,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,就业重点群体生活费（含交通费）补贴申请表,dc27,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员信息,rlzyshbzt_sbkyw_ac47,正常,,正常,,正常,,,人力资源社会保障厅,扩岗补贴人员名单,jb28a1,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员参保关系,scsb_reportqb_ac02,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,零就业家庭申请信息表,cc10,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员参保关系,scsb_resident01_ac02,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,企业享受优惠政策人员申请信息表,cb14,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员参保关系,scsb_resident04_ac02,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,失业补助金申领表,ac93,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员参保关系,scsb_zyshhx_ac02,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,失业登记信息表,cc02,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员定期待遇项目明细,einp_treatment01_ac61,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,实名制农村劳动力转移登记表,cc52,正常,已经到前置机，未对账,未推送,,未推送,
人力资源社会保障厅,人员定期待遇项目明细,einp_treatment02_ac61,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,援助基地吸纳困难人员,cc2a,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员定期待遇项目明细,einp_treatment03_ac61,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,公益性岗位人员信息表,cc11,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员定期待遇项目明细,einp_treatment04_ac61,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,学员信息表（学员班级管理信息表）,dc05,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员定期待遇项目明细,scsb_resident01_ac61,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,在校大学生基础信息表,dc31,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员定期待遇项目明细,scsb_resident04_ac61,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,创业孵化基地/园区信息表,cb7a,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员定期待遇项目明细,scsb_scgioi_ac61,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,创业园区（孵化基地）入驻项目信息,cb7s,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员定期待遇项目明细,scsb_zyshhx_ac61,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,就业援助基地,cb17,正常,已经到前置机，未对账,正常,,未推送,
人力资源社会保障厅,人员实名信息数据表,rlzyshbzt_b_ps01,正常,,正常,,正常,,,人力资源社会保障厅,培训机构信息表,df01,正常,已经到前置机，未对账,正常,,未推送,
